,DNN,RandomForest,LSTM
A,0.9988095238095238,0.9982174688057041,1.0
B,1.0,1.0,1.0
C,1.0,1.0,1.0
D,1.0,1.0,1.0
E,1.0,1.0,1.0
F,0.9895022240233112,0.9868236163581643,1.0
G,0.9846588119783997,0.9777434236356498,1.0
H,1.0,1.0,1.0
I,1.0,1.0,1.0
J,0.9922284548065047,1.0,1.0
K,0.9970501474926253,1.0,1.0
L,1.0,1.0,1.0
M,1.0,1.0,1.0
N,0.9987699876998771,1.0,1.0
O,1.0,1.0,1.0
P,1.0,0.9990766389658358,0.9943502824858758
Q,1.0,1.0,1.0
R,1.0,1.0,1.0
S,0.9980392156862745,1.0,1.0
T,1.0,0.9992266047950503,0.991869918699187
U,1.0,1.0,1.0
V,1.0,1.0,1.0
W,0.9917551537262187,1.0,1.0
X,1.0,1.0,1.0
Y,1.0,1.0,1.0
Z,1.0,1.0,1.0
SPC,0.9978354978354979,1.0,1.0
